DMA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
101,8,7,7,6,7,8,9,8,8,7,7
104,4,4,4,4,3,3,4,4,5,4,3
110,18,19,18,16,11,11,13,14,15,14,12
111,3,3,3,3,2,2,3,3,2,3,3
117,7,8,7,7,7,7,7,8,8,7,7
118,7,6,6,6,5,5,6,5,4,4,3
119,8,9,8,8,6,6,7,6,5,4,3
126,5,5,5,5,4,4,5,4,4,4,3
130,5,5,5,5,4,4,5,4,4,4,3
131,5,4,4,4,4,4,4,4,4,4,4
132,7,7,8,8,6,6,7,6,5,4,3
133,13,13,14,14,11,11,13,11,10,9,9
155,,,17,17,13,13,14,11,10,9,10
156,,,16,16,12,12,14,11,10,9,9
157,,,21,21,16,17,20,16,14,12,10
159,,,,14,13,14,15,17,17,18,17
169,12,14,13,13,10,10,12,10,9,8,7
171,12,12,11,11,8,8,9,7,6,5,4
172,,,20,20,17,17,14,15,12,10,10
173,12,12,11,11,8,8,9,7,6,7,7
176,12,12,13,10,10,8,9,9,10,9,9
177,16,17,18,15,12,14,14,15,14,13,14
178,14,11,13,12,10,9,11,12,14,13,15
181,16,17,14,12,11,10,12,14,15,15,14
183,,,14,13,13,12,15,15,13,12,12
197,17,15,14,13,13,12,15,18,20,21,22
201,,,13,14,10,13,12,13,15,16,19
209,,,10,10,9,8,9,10,11,10,8
208,,,9,7,6,5,6,7,8,8,9
210,,,10,11,10,10,9,10,10,9,10
214,,,,,,,,33,35,35,33
221,,,,,,,,20,22,24,26
222,,,,,,,,21,24,26,29
225,,,,,,,,22,23,24,25
227,,,,,,,,25,28,28,31
236,,,,,,,,23,25,27,28
239,,,,,,,,15,16,16,17
240,,,,,,,,27,29,29,30
241,,,,,,,,28,29,30,29
246,,,18,19,16,17,20,22,23,23,25
249,,,18,19,17,17,19,20,21,22,23
256,,,,,,,,9,10,11,12
257,,,,,,,,11,13,13,14
258,,,,,,,,14,14,13,14
259,,,23,22,19,20,21,22,22,21,24
263,,,,,,,,12,13,14,15
264,,,,,,,,17,19,19,22
265,,,,,,,,13,14,13,14
266,,,,,,,,7,8,9,8
267,,,5,5,5,5,5,6,6,5,5
268,,,10,10,10,10,11,11,10,10,10
297,,,,,,,,4,5,5,6
298,,,,14,10,13,12,15,15,16,17
